Ticker,Company Name,Years to 0 Profit (All),Years to 0 Profit (CO2 only),Years to 0 Profit (Water only),Years to 0 Profit (Electricity only)
MMM,3M,> 74,> 74,> 74,> 74
AOS,A. O. Smith,> 74,> 74,> 74,> 74
ABT,Abbott,> 74,> 74,> 74,> 74
ABBV,AbbVie,> 74,> 74,> 74,> 74
ACN,Accenture,> 74,> 74,> 74,> 74
ATVI,Activision Blizzard,> 74,> 74,> 74,> 74
ADM,ADM,4,4,45,> 74
ADBE,Adobe Inc.,> 74,> 74,> 74,> 74
ADP,ADP,> 74,> 74,> 74,> 74
AES,AES Corporation,2,4,2,2
AFL,Aflac,> 74,> 74,> 74,> 74
A,Agilent Technologies,> 74,> 74,> 74,> 74
APD,Air Products and Chemicals,0,0,0,0
AKAM,Akamai,> 74,> 74,> 74,> 74
ALK,Alaska Air Group,4,4,> 74,> 74
ALB,Albemarle Corporation,0,0,0,0
ARE,Alexandria Real Estate Equities,0,0,0,0
ALGN,Align Technology,> 74,> 74,> 74,> 74
ALLE,Allegion,> 74,> 74,> 74,> 74
LNT,Alliant Energy,4,4,72,> 74
ALL,Allstate,> 74,> 74,> 74,> 74
GOOGL,Alphabet Inc. (Class A),> 74,> 74,> 74,> 74
GOOG,Alphabet Inc. (Class C),> 74,> 74,> 74,> 74
MO,Altria,> 74,> 74,> 74,> 74
AMZN,Amazon,> 74,> 74,> 74,> 74
AMCR,Amcor,4,4,> 74,> 74
AMD,AMD,> 74,> 74,> 74,> 74
AEE,Ameren,4,4,9,> 74
AAL,American Airlines Group,4,4,38,> 74
AEP,American Electric Power,4,4,7,16
AXP,American Express,> 74,> 74,> 74,> 74
AIG,American International Group,> 74,> 74,> 74,> 74
AMT,American Tower,> 74,> 74,> 74,> 74
AWK,American Water Works,7,> 74,8,> 74
AMP,Ameriprise Financial,> 74,> 74,> 74,> 74
AME,Ametek,> 74,> 74,> 74,> 74
AMGN,Amgen,> 74,> 74,> 74,> 74
APH,Amphenol,> 74,> 74,> 74,> 74
ADI,Analog Devices,> 74,> 74,> 74,> 74
ANSS,Ansys,> 74,> 74,> 74,> 74
AON,Aon,> 74,> 74,> 74,> 74
APA,APA Corporation,4,4,> 74,> 74
AAPL,Apple Inc.,> 74,> 74,> 74,> 74
AMAT,Applied Materials,> 74,> 74,> 74,> 74
APTV,Aptiv,35,73,> 74,> 74
ACGL,Arch Capital Group,> 74,> 74,> 74,> 74
ANET,Arista Networks,> 74,> 74,> 74,> 74
AJG,Arthur J. Gallagher & Co.,> 74,> 74,> 74,> 74
AIZ,Assurant,> 74,> 74,> 74,> 74
T,AT&T,> 74,> 74,> 74,> 74
ATO,Atmos Energy,> 74,> 74,> 74,> 74
ADSK,Autodesk,> 74,> 74,> 74,> 74
AZO,AutoZone,> 74,> 74,> 74,> 74
AVB,AvalonBay Communities,> 74,> 74,> 74,> 74
AVY,Avery Dennison,> 74,> 74,> 74,> 74
AXON,Axon Enterprise,> 74,> 74,> 74,> 74
BKR,Baker Hughes,> 74,> 74,> 74,> 74
BALL,Ball Corporation,4,4,> 74,> 74
BAC,Bank of America,> 74,> 74,> 74,> 74
BBWI,Bath & Body Works,> 74,> 74,> 74,> 74
BAX,Baxter International,0,0,0,0
BDX,Becton Dickinson,> 74,> 74,> 74,> 74
WRB,Berkley,> 74,> 74,> 74,> 74
BRK.B,Berkshire Hathaway,38,53,> 74,> 74
BBY,Best Buy,> 74,> 74,> 74,> 74
BIO,Bio-Rad,> 74,> 74,> 74,> 74
TECH,Bio-Techne,> 74,> 74,> 74,> 74
BIIB,Biogen,> 74,> 74,> 74,> 74
BLK,BlackRock,> 74,> 74,> 74,> 74
BK,BNY Mellon,> 74,> 74,> 74,> 74
BA,Boeing,> 74,> 74,> 74,> 74
BKNG,Booking Holdings,> 74,> 74,> 74,> 74
BWA,BorgWarner,> 74,> 74,> 74,> 74
BXP,Boston Properties,> 74,> 74,> 74,> 74
BSX,Boston Scientific,> 74,> 74,> 74,> 74
BMY,Bristol Myers Squibb,> 74,> 74,> 74,> 74
AVGO,Broadcom Inc.,> 74,> 74,> 74,> 74
BR,Broadridge Financial Solutions,> 74,> 74,> 74,> 74
BRO,Brown & Brown,> 74,> 74,> 74,> 74
BF.B,Brown–Forman,> 74,> 74,> 74,> 74
BG,Bunge Limited,4,4,43,> 74
CHRW,C.H. Robinson,> 74,> 74,> 74,> 74
CDNS,Cadence Design Systems,> 74,> 74,> 74,> 74
CZR,Caesars Entertainment,0,0,0,0
CPT,Camden Property Trust,> 74,> 74,> 74,> 74
CPB,Campbell Soup Company,> 74,> 74,> 74,> 74
COF,Capital One,> 74,> 74,> 74,> 74
CAH,Cardinal Health,> 74,> 74,> 74,> 74
CCL,Carnival,4,4,> 74,> 74
CARR,Carrier Global,> 74,> 74,> 74,> 74
CTLT,Catalent,0,0,0,0
CAT,Caterpillar Inc.,> 74,> 74,> 74,> 74
CBOE,Cboe Global Markets,> 74,> 74,> 74,> 74
CBRE,CBRE Group,> 74,> 74,> 74,> 74
CDW,CDW,4,4,> 74,> 74
CE,Celanese,0,0,0,0
COR,Cencora,> 74,> 74,> 74,> 74
CNC,Centene Corporation,0,0,0,0
CNP,CenterPoint Energy,4,4,25,> 74
CDAY,Ceridian,> 74,> 74,> 74,> 74
CF,CF Industries,4,4,45,> 74
CRL,Charles River Laboratories,0,0,0,0
SCHW,Charles Schwab Corporation,> 74,> 74,> 74,> 74
CHTR,Charter Communications,> 74,> 74,> 74,> 74
CVX,Chevron Corporation,4,4,> 74,> 74
CMG,Chipotle Mexican Grill,4,4,> 74,> 74
CB,Chubb Limited,> 74,> 74,> 74,> 74
CHD,Church & Dwight,> 74,> 74,> 74,> 74
