year,co2_cost,co2_cost_social,water_cost,electricity_cost
2026,6.00,6.00,2.80,89.67
2027,6.42,6.42,2.90,88.32
2028,6.87,6.87,3.00,91.58
2029,7.35,7.35,3.10,94.96
2030,7.86,380.00,3.21,96.67
2031,8.42,384.56,3.33,99.97
2032,9.00,389.17,3.44,102.70
2033,9.63,393.84,3.56,105.47
2034,76.97,398.57,3.69,104.53
2035,80.81,403.35,3.82,103.24
2036,81.89,408.19,3.95,102.93
2037,86.77,413.09,4.09,103.35
2038,91.10,418.05,4.23,104.95
2039,92.95,423.07,4.38,104.68
2040,94.67,428.14,4.53,105.37
2041,96.41,433.28,4.69,106.38
2042,98.62,438.48,4.86,107.75
2043,101.72,443.74,5.03,108.43
2044,104.45,449.07,5.20,109.14
2045,106.62,454.46,5.38,109.98
2046,110.06,459.91,5.57,110.64
2047,111.62,465.43,5.77,110.82
2048,113.79,471.01,5.97,110.90
2049,116.26,476.67,6.18,111.17
2050,119.08,482.39,6.39,111.38
2051,123.22,485.76,6.62,111.38
2052,125.02,489.16,6.85,111.38
2053,128.08,492.59,7.09,111.38
2054,131.45,496.03,7.34,111.38
2055,132.63,499.51,7.59,111.38
2056,136.06,503.00,7.86,111.38
2057,137.74,506.52,8.13,111.38
2058,139.00,510.07,8.42,111.38
2059,143.80,513.64,8.71,111.38
2060,148.66,517.24,9.02,111.38
2061,152.90,520.86,9.33,111.38
2062,155.11,524.50,9.66,111.38
2063,156.50,528.17,10.00,111.38
2064,160.24,531.87,10.35,111.38
2065,163.00,535.59,10.71,111.38
2066,164.49,539.34,11.09,111.38
2067,167.47,543.12,11.47,111.38
2068,168.61,546.92,11.88,111.38
2069,173.25,550.75,12.29,111.38
2070,175.28,554.60,12.72,111.38
2071,178.93,558.49,13.17,111.38
2072,181.18,562.40,13.63,111.38
2073,184.26,566.33,14.11,111.38
2074,187.45,570.30,14.60,111.44
2075,189.18,574.29,15.11,111.49
2076,194.06,578.31,15.64,111.55
2077,198.16,582.36,16.19,111.60
2078,202.92,586.43,16.75,111.66
2079,207.50,590.54,17.34,111.71
2080,210.89,594.67,17.95,111.77
2081,215.58,598.84,18.57,111.83
2082,216.93,603.03,19.22,111.88
2083,218.72,607.25,19.90,111.94
2084,219.90,611.50,20.59,111.99
2085,222.20,615.78,21.31,112.05
2086,224.75,620.09,22.06,112.11
2087,226.84,624.43,22.83,112.16
2088,231.16,628.80,23.63,112.22
2089,233.58,633.20,24.46,112.27
2090,235.71,637.64,25.31,112.33
2091,238.88,642.10,26.20,112.39
2092,240.44,646.59,27.12,112.44
2093,244.65,651.12,28.07,112.50
2094,245.95,655.68,29.05,112.56
2095,250.90,660.27,30.06,112.61
2096,254.98,664.89,31.12,112.67
2097,256.78,669.54,32.21,112.72
2098,257.80,674.23,33.33,112.78
2099,262.06,678.95,34.50,112.84
2100,265.89,683.70,35.71,112.89
2101,,688.49,35.71,112.95
2102,,693.31,35.71,113.01
2103,,698.16,35.71,113.06
2104,,703.05,35.71,113.12
2105,,707.97,35.71,113.18
2106,,712.93,35.71,113.23
2107,,717.92,35.71,113.29
2108,,722.94,35.71,113.35
2109,,728.00,35.71,113.40
2110,,733.10,35.71,113.46
2111,,738.23,35.71,113.52
2112,,743.40,35.71,113.57
2113,,748.60,35.71,113.63
2114,,753.84,35.71,113.69
2115,,759.12,35.71,113.74
2116,,764.43,35.71,113.80
2117,,769.78,35.71,113.86
2118,,775.17,35.71,113.91
2119,,780.60,35.71,113.97
2120,,786.06,35.71,114.03
2121,,791.56,35.71,114.08
2122,,797.11,35.71,114.14
2123,,802.69,35.71,114.20
2124,,808.30,35.71,114.26
2125,,813.96,35.71,114.31
2126,,819.66,35.71,114.37
2127,,825.40,35.71,114.43
2128,,831.18,35.71,114.48
2129,,836.99,35.71,114.54
2130,,842.85,35.71,114.60
2131,,848.75,35.71,114.66
2132,,854.69,35.71,114.71
2133,,860.68,35.71,114.77
2134,,866.70,35.71,114.83
2135,,872.77,35.71,114.89
2136,,878.88,35.71,114.94
2137,,885.03,35.71,115.00
2138,,891.22,35.71,115.06
2139,,897.46,35.71,115.12
2140,,903.75,35.71,115.17
2141,,910.07,35.71,115.23
2142,,916.44,35.71,115.29
2143,,922.86,35.71,115.35
2144,,929.32,35.71,115.40
2145,,935.82,35.71,115.46
2146,,942.37,35.71,115.52
2147,,948.97,35.71,115.58
2148,,955.61,35.71,115.63
2149,,962.30,35.71,115.69
2150,,969.04,35.71,115.75
2151,,975.82,35.71,115.81
2152,,982.65,35.71,115.87
2153,,989.53,35.71,115.92
2154,,996.46,35.71,115.98
2155,,1003.43,35.71,116.04
2156,,1010.46,35.71,116.10
2157,,1017.53,35.71,116.16
2158,,1024.65,35.71,116.21
2159,,1031.83,35.71,116.27
2160,,1039.05,35.71,116.33
2161,,1046.32,35.71,116.39
2162,,1053.65,35.71,116.45
2163,,1061.02,35.71,116.51
2164,,1068.45,35.71,116.56
2165,,1075.93,35.71,116.62
2166,,1083.46,35.71,116.68
