Ticker,Company Name,Electricity Usage (MWh),CO2 Emissions (Metric Tons),Water Usage (Cubic Meters),Revenue (USD),Profit (USD)
MMM,3M,3500000,2500000,30000000,24948000000,3250000000
AOS,A. O. Smith,179316,143109,1356134,3830200000,546200000
ABT,Abbott,1267222,876000,2338000,44330000000,6520000000
ABBV,AbbVie,2218056,380850,27860000,61160000000,4233000000
ACN,Accenture,340685,711431,1524942,69672977000,7832400000
ATVI,Activision Blizzard,65000,275300,120000,7528000000,1513000000
ADM,ADM,3670000,14540000,107800000,80270000000,1080000000
ADBE,Adobe Inc.,228700,435764,363413,23769000000,7130000000
ADP,ADP,180000,73220,500000,21950000000,4413500000
AES,AES Corporation,120000000,29000000,1000000000,12233000000,162000000
AFL,Aflac,15000,2633,50000,17164000000,3646000000
A,Agilent Technologies,105339,72291,302140,6950000000,1303000000
APD,Air Products and Chemicals,75944444,43500000,808000000,12037300000,-354400000
AKAM,Akamai,1082840,173070,150000,4208000000,452031000
ALK,Alaska Air Group,120000,10337165,450000,14239000000,100000000
ALB,Albemarle Corporation,5138889,1113000,24800000,5142700000,-510600000
ARE,Alexandria Real Estate Equities,480000,312699,3500000,2970717000,-1438000000
ALGN,Align Technology,5193.6,25115,150000,4000000000,410350000
ALLE,Allegion,112987,54135,365998,4067300000,643800000
LNT,Alliant Energy,33129000,13900000,27241890,4400000000,810000000
ALL,Allstate,145000,73250,350000,67700000000,10200000000
GOOGL,Alphabet Inc. (Class A),43600000,2900000,41000000,402836000000,132170000000
GOOG,Alphabet Inc. (Class C),43600000,14470000,41000000,402836000000,132170000000
MO,Altria,85000,119336,1200000,23279000000,6947000000
AMZN,Amazon,125000000,80900000,9500000,716924000000,77670000000
AMCR,Amcor,4972222,10470000,12500000,23506000000,1106000000
AMD,AMD,299000,42972,1500000,34600000000,4300000000
AEE,Ameren,35000000,24500000,1500000000,8800000000,1456000000
AAL,American Airlines Group,1200000,39946681,15000000,54633000000,111000000
AEP,American Electric Power,200000000,43351137,5390000000,21870000000,3580000000
AXP,American Express,375939,1901592,450000,72200000000,10800000000
AIG,American International Group,120000,45000,600000,26770000000,3100000000
AMT,American Tower,133000,500000,50000,10645000000,2530000000
AWK,American Water Works,1051498,498267,1261458000,5140000000,1110000000
AMP,Ameriprise Financial,120000,45000,300000,18480000000,3563000000
AME,Ametek,272400,123300,745170,7401100000,1480100000
AMGN,Amgen,878055,155000,2344000,36751000000,7711000000
APH,Amphenol,1292978,688177,6235569,23094700000,4270300000
ADI,Analog Devices,780000,2193000,3574600,11000000000,2267342000
ANSS,Ansys,5000,8291,20000,2544809000,575692000
AON,Aon,120000,44677,350000,17181000000,3690000000
APA,APA Corporation,800000,6124000,6693366,7229000000,1400000000
AAPL,Apple Inc.,40800000,16489100,3030000,416161000000,112010000000
AMAT,Applied Materials,668509,113985,2612000,28368000000,6998000000
APTV,Aptiv,1000000,246259,2653000,20400000000,165000000
ACGL,Arch Capital Group,15000,7399,50000,19929000000,4359000000
ANET,Arista Networks,113985,5059485,43103,9006000000,3511000000
AJG,Arthur J. Gallagher & Co.,140000,50767,350000,13778000000,1503000000
AIZ,Assurant,10500,11518,150000,12800000000,872700000
T,AT&T,12900000,11666888,9270000,125648000000,23386000000
ATO,Atmos Energy,120000,750000,500000,4702800000,1198800000
ADSK,Autodesk,39050,196499,15000,7200000000,1100000000
AZO,AutoZone,556355,497222,120000,18939000000,2498000000
AVB,AvalonBay Communities,237016,69144,13542602,3040700000,1056600000
AVY,Avery Dennison,350000,345000,1158300,8900000000,688000000
AXON,Axon Enterprise,2500,2825,50000,2779600000,124700000
BKR,Baker Hughes,2143675,560847,2573900,27733000000,2588000000
BALL,Ball Corporation,4329000,8046349,8308950,13160000000,912000000
BAC,Bank of America,1772964,683176,1407000,113100000000,30500000000
BBWI,Bath & Body Works,286192,96774,196000,7291000000,649000000
BAX,Baxter International,2900000,501000,14500000,11244000000,-900000000
BDX,Becton Dickinson,2093980,572539,5399631,21800000000,1680000000
WRB,Berkley,85000,24591,120000,14707856000,1779000000
BRK.B,Berkshire Hathaway,165000000,115000000,450000000,371440000000,66968000000
BBY,Best Buy,1387788,250000,1000000,41691000000,1070000000
BIO,Bio-Rad,111400,38000,650000,2583200000,759900000
TECH,Bio-Techne,35000,18512,150000,1215039000,181862000
BIIB,Biogen,447391,58455,1115000,9891000000,1300000000
BLK,BlackRock,12000,41816,150000,24220000000,5550000000
BK,BNY Mellon,120000,45000,500000,20100000000,5300000000
BA,Boeing,4663892,1300000,5021740,89463000000,2238000000
BKNG,Booking Holdings,12000,276308,45000,26917000000,5400000000
BWA,BorgWarner,1063498,251844,1475940,14316000000,335000000
BXP,Boston Properties,350000,0,4500000,3482279000,276812000
BSX,Boston Scientific,180000,213282,1500000,20074000000,2898000000
BMY,Bristol Myers Squibb,1470753,331037,2895286,48194000000,7054000000
AVGO,Broadcom Inc.,500000,248181,1952600,63887000000,23126000000
BR,Broadridge Financial Solutions,91774,49266,150000,7476800000,1124300000
BRO,Brown & Brown,12500.0,5500.0,35000.0,5902000000.0,1054000000.0
BF.B,Brown–Forman,250000,75000,3900000,3900000000,715000000
BG,Bunge Limited,1200000,2900000,86390140,70329000000,816000000
CHRW,C.H. Robinson,15000,25000,50000,16232800000,587081000
CDNS,Cadence Design Systems,65000,25000,150000,5296800000,1108900000
CZR,Caesars Entertainment,350000,500000,15000000,11481000000,-502000000
CPT,Camden Property Trust,125000,55000,4500000,1580000000,384500000
CPB,Campbell Soup Company,350000,671508,3788175,10253000000,602000000
COF,Capital One,350000,75000,780000,53434000000,2500000000
CAH,Cardinal Health,581554,352244,3780000,222600000000,1600000000
CCL,Carnival,32742983,9297000,25893000,26622000000,2760000000
CARR,Carrier Global,722158,383530,349000,22500000000,5600000000
CTLT,Catalent,1200000,500000,2190000,4380000000,-1040000000
CAT,Caterpillar Inc.,2250000,1380000,19000000,67589000000,8900000000
CBOE,Cboe Global Markets,41066,15000,3785,2429100000,738800000
CBRE,CBRE Group,150000,68911,2500000,40600000000,1277000000
CDW,CDW,60060,4887526,50000,22424100000,1066600000
CE,Celanese,3500000,5200000,45000000,9544000000,-1165000000
COR,Cencora,311440,273112,1977509,321300000000,1600000000
CNC,Centene Corporation,125166,1168959,150000,194777000000,-6674000000
CNP,CenterPoint Energy,260000,4853990,304879489,9350000000,1100000000
CDAY,Ceridian,3980,500,12000,1760000000,18100000
CF,CF Industries,2426389,19446000,141001000,7084000000,1455000000
CRL,Charles River Laboratories,315330,82825,3500000,4015000000,-144338000
SCHW,Charles Schwab Corporation,140000,75000,1200000,23900000000,8900000000
CHTR,Charter Communications,3500000,1450000,5000000,54800000000,5000000000
CVX,Chevron Corporation,14500000,56500000,75000000,184432000000,12299000000
CMG,Chipotle Mexican Grill,53641,5137186,8715591,11925600000,1540000000
CB,Chubb Limited,125000,69874,450000,59402000000,10310000000
CHD,Church & Dwight,151000,70486,1580000,6203200000,736800000
CI,Cigna,274700,75000,380000,274900000000,6000000000
CINF,Cincinnati Financial,15000,20476,100000,12631000000,2393000000
CTAS,Cintas,1200000,750000,4500000,10341000000,1812300000
CSCO,Cisco,1400000,24513,2395000,63330000000,13270000000
C,Citigroup,1082478,370030,2905418,85200000000,14300000000
CFG,Citizens Financial Group,142773,38395,150000,8240000000,1830000000
CLX,Clorox,707385,89726,2703000,7100000000,810000000
CME,CME Group,18840,139421,106509,6520600000,4072200000
CMS,CMS Energy,35903000,18450920,2020000,8539000000,1002000000
KO,Coca-Cola Company (The),2500000,5219088,311998000,47941000000,13107000000
CTSH,Cognizant,172207,61419,864000,21108000000,2230000000
CL,Colgate-Palmolive,958000,590655,8700000,20382000000,2132000000
CMCSA,Comcast,4444444,9500000,1200000,123707000000,20000000000
CMA,Comerica,33471,28101,233812,3240000000,698000000
CAG,Conagra Brands,2770,778879,16500000,11281600000,-1916200000
COP,ConocoPhillips,3500000,24307000,10800000,58944000000,7988000000
ED,Consolidated Edison,50000000.0,3167000.0,11541000.0,16900000000.0,2023000000.0
STZ,Constellation Brands,760000,381000,22289000,9139000000,1687000000
CEG,Constellation Energy,916000,9679181,737692000,25533000000,2320000000
COO,CooperCompanies,208718.6,73846,650000,4092400000,374900000
CPRT,Copart,60000,12400000,150000,4670000000,1480000000
GLW,Corning Inc.,6568527,3814831,19965861,15629000000,1596000000
CTVA,Corteva,250000,853000,27290000,17401000000,1165000000
CSGP,CoStar Group,12500,5000,45000,3247000000,7000000
COST,Costco,5000000,182200000,15000000,275235000000,8099000000
CTRA,Coterra,750000,1606439,6031000,7645000000,1717000000
CCI,Crown Castle,155665,11374,20629,4264000000,444000000
CSX,CSX,414491,4551048,2583430,14092000000,2889000000
CMI,Cummins,1250000,650000,3774000,33700000000,2843000000
CVS,CVS Health,1800000,676183,6457000,402067000000,1768000000
DHI,D.R. Horton,120000,55300,450000,34300000000,3600000000
DHR,Danaher Corporation,1221320,311980,532879.92,24568000000,3600000000
DRI,Darden Restaurants,3088000,847331,19684132,13210000000,1210000000
DVA,DaVita Inc.,615375,741861,15286488,13653000000,1078000000
DE,John Deere,3185300,874500,3500000,45684000000,5027000000
DAL,Delta Air Lines,1200000,60570033,4500000,63400000000,5000000000
XRAY,Dentsply Sirona,115000,22960,245670,3680000000,-598000000
DVN,Devon Energy,2500000,4589573,31797430,17188000000,2681000000
DXCM,Dexcom,85000,42700,180000,4662000000,836300000
FANG,Diamondback Energy,3301961,2735330,2400000,15026000000,1664000000
DLR,Digital Realty,11649837,999920,5586303,5554968000,561766000
DFS,Discover Financial,120000,34700,250000,17910000000,4440000000
DIS,Disney,2078435,1510751,45000000,94425000000,12404000000
DG,Dollar General,3815801.27,1450698,7192279,42724400000,1500000000
DLTR,Dollar Tree,1483097,656554,2000000,19400000000,861800000
D,Dominion Energy,117850205,37812642,41247571.75,16500000000,3000000000
DPZ,Domino's,180000,750000,1200000,4940000000,601700000
DOV,Dover Corporation,350000,164318,1200000,8092571000,1093900000
DOW,Dow Inc.,25000000,32000000,113222000,40000000000,-2400000000
DTE,DTE Energy,35000000,20917000,1200000000,15810000000,1485000000
DUK,Duke Energy,214148000,79000000,18860000000,31700000000,4970000000
DD,DuPont,1850000,4696000,45000000,6800000000,88000000
DXC,DXC Technology,853433,143907,500000,12640000000,18000000
EMN,Eastman Chemical Company,40555678,6951203,785645000,8752000000,474000000
ETN,Eaton Corporation,2167296,586706,2649510,27448000000,4090000000
EBAY,eBay,454465,4238,306668,11100000000,2030000000
ECL,Ecolab,384462,284943,9111249,16081200000,2075600000
EIX,Edison International,81841000,7820000,1464000,19276000000,4459000000
EW,Edwards Lifesciences,110844,38075,842353,6067600000,1073500000
EA,Electronic Arts,90355,6586,254560,7531000000,887000000
ELV,Elevance Health,180000,5305061,450000,199130000000,5660000000
LLY,Eli Lilly and Company,780580,208000,5500000,65179000000,20640000000
EMR,Emerson Electric,599111,350000,1659000,18016000000,2293000000
ENPH,Enphase,18500,7500,45000,1470000000,172100000
ETR,Entergy,85000000,37000000,120000000,11806000000,1758272000
EOG,EOG Resources,1200000,6406711,15000000,22632000000,4980000000
EPAM,EPAM Systems,120000,50000,300000,5457056000,377678000
EQT,EQT,150000,0.0,6478000.0,8640000000.0,2039000000.0
EFX,Equifax,12000,5000,20000,6074500000,664300000
EQIX,Equinix,6500000,500000,4600000,9217000000,1350000000
EQR,Equity Residential,168422,289761,12016347,3094000000,1152000000
ESS,Essex Property Trust,31915,46016,1892705,1901000000,672500000
EL,Estée Lauder Companies (The),192200,0,885000,15049000000,182000000
ETSY,Etsy,4210,333,5000,2883500000,162982000
EG,Everest Re,12000,86252.2,50000,17210000000,1590000000
EVRG,Evergy,45514605,25985719,76268266,5961600000,855600000
ES,Eversource,150000,750000,120000000,13547244000,1692372000
EXC,Exelon,28800000,9900000,204412,24258000000,2768000000
EXPE,Expedia Group,15000,407041,50000,14700000000,1301000000
EXPD,Expeditors International,35000,25000,150000,11069009000,810332000
EXR,Extra Space Storage,210457,60368,658829,3377500000,1022500000
XOM,ExxonMobil,38888888,97000000,290000000,332200000000,28800000000
FFIV,F5,29053,5672,15000,3088100000,692400000
FDS,FactSet,39367.33,13445,15000,2321700000,597040000
FICO,Fair Isaac,12000,5000,30000,1990000000,652000000
FAST,Fastenal,86724,169929,29035,8200500000,1258400000
FRT,Federal Realty,150000,75000,2000000,1290000000,411100000
FDX,FedEx,2544522,15790428,1200000,94720000000,4430000000
FITB,Fifth Third Bank,128272,9449,150000,9900000000,2522000000
FSLR,First Solar,1782056,942927,4673000,5200000000,1500000000
FE,FirstEnergy,148452000,14018734,62797000,15100000000,1020000000
FIS,FIS,120000,50000,300000,10677000000,382000000
FI,Fiserv,252043,122180,150000,21193000000,3480000000
FLT,Fleetcor,12000,5500,45000,3970000000,1003700000
FMC,FMC Corporation,170000,126000,1451000,3467400000,-2238900000
F,Ford Motor Company,10869498,336389000,14500000,187270000000,-8162000000
FTNT,Fortinet,74133,17113,100086,6799600000,1853400000
FTV,Fortive,115000,55565,374900,4159100000,579200000
FOXA,Fox Corporation (Class A),158020,79328,145640,16300000000,2290000000
FOX,Fox Corporation (Class B),158020,67750,145640,17130000000,1730000000
BEN,Franklin Templeton,12000.0,31900.0,50000.0,8770000000.0,524900000.0
FCX,Freeport-McMoRan,7610086,7352000,1800000000,25910000000,2204000000
GRMN,Garmin,120000,1166956,450000,7245500000,1663900000
IT,Gartner,15000,25000,50000,6500000000,700000000
GEHC,GE HealthCare,185000,221000,1200000,20625000000,2084000000
GEN,Gen Digital,52835,5839,245424,5000000000,973000000
GNRC,Generac,65629,71023,118537,4209147000,159554000
GD,General Dynamics,1300000,885277,2500000,52550000000,4200000000
GE,General Electric,1342537,751183,8353805,45900000000,10000000000
GIS,General Mills,2435000,319000,9177000,18420000000,-2000000000
GM,General Motors,12490707,3458581,16976302,185019000000,2697000000
GPC,Genuine Parts Company,105000,374826,240000,24300000000,65950000
GILD,Gilead Sciences,424797,50391,526000,29443000000,8510000000
GL,Globe Life,15150,6780,76000,5990000000,1161238000
GPN,Global Payments,110000,45000,165000,9320000000,1070000000
GS,Goldman Sachs,441570,14447,60566,58260000000,17180000000
HAL,Halliburton,1200000,3022264,7500000,22184000000,1292000000
HIG,Hartford (The),38940,53264,89360,28368000000,3836000000
HAS,Hasbro,16286,7884,65400,4701300000,-318200000
HCA,HCA Healthcare,3500000,2500000,15000000,75600000000,6784000000
PEAK,Healthpeak,35570,1457,56781,2823000000,70513000
HSIC,Henry Schein,18014,53675,136800,13200000000,419000000
HSY,Hershey's,1550000,6557419,4679000,11692576000,883300000
HES,Hess Corporation,1200000,2600000,4500000,12907000000,2769000000
HPE,Hewlett Packard Enterprise,649573,15816671,1500000,34296000000,57000000
HLT,Hilton Worldwide,22092928,2561872,45740000,12039000000,1461000000
HOLX,Hologic,15099,14923,145000,4100500000,565700000
HD,Home Depot (The),3134800,1547000,113562427,164683000000,14156000000
HON,Honeywell,4638531,1417133,22429000,37442000000,4468000000
HRL,Hormel Foods,3075777,922949,17585000,12106160000,478197000
HST,Host Hotels & Resorts,617453,222322,10008688,6114000000,776000000
HWM,Howmet Aerospace,3277778,750000,3500000,8252000000,1508000000
HPQ,HP Inc.,682398,127600,2227000,55295000000,2500000000
HUM,Humana,149029,98506,643052,129700000000,1190000000
HBAN,Huntington Bancshares,182162,71093,468940,8231000000,2211000000
HII,Huntington Ingalls Industries,500000,308753,3500000,12484000000,605000000
IBM,IBM,1794000,191000,500000,67535000000,10600000000
IEX,IDEX Corporation,131403,63130,410422,3500000000,482500000
IDXX,Idexx Laboratories,69862,37459,92447,4304000000,1059000000
ITW,Illinois Tool Works,899646,495154,2325753,16044000000,3066000000
ILMN,Illumina,142718,34635,293766.79,4340000000,850000000
INCY,Incyte,51186,16092,120000,5141242000,1286650000
IR,Ingersoll Rand,336545,92043,352000,7650900000,588800000
PODD,Insulet,31201,12547,150000,2700000000,247100000
INTC,Intel,10200000,1320000,41918000,52850000000,-300000000
ICE,Intercontinental Exchange,150000,297141,500000,12640000000,3300000000
IFF,International Flavors & Fragrances,1296479,5667289,15000000,10890000000,-361000000
IP,International Paper,66024870,18500000,280000000,23634000000,-3516000000
IPG,Interpublic Group of Companies (The),120000,35000,250000,10690000000,689500000
INTU,Intuit,67926,21053,28400,21448000000,4566000000
ISRG,Intuitive Surgical,35000,696305,120000,10064700000,2876600000
IVZ,Invesco,22338,5500,45000,6380000000,-726300000
INVH,Invitation Homes,150000,75000,3000000,2729300000,589900000
IQV,IQVIA,135000,55000,650000,16310000000,1360000000
IRM,Iron Mountain,1616131,3529,949329,6902000000,144591000
JBHT,J.B. Hunt,50400,1818487,923640,11999000000,598000000
JKHY,Jack Henry & Associates,69079,6832,45000,2544339000,502776000
J,Jacobs Solutions,47014,34485,15000,12029800000,303900000
JNJ,Johnson & Johnson,1250000,500000,11000000,94193000000,26881000000
JCI,Johnson Controls,1250000,582890,3196000,23596000000,3513000000
JPM,JPMorgan Chase,2098794,873876,5600000,182447000000,57048000000
JNPR,Juniper Networks,265969,1414944,50000,5073600000,287900000
K,Kellogg's,1200000,448532,5593630,12749000000,1343000000
KVUE,Kenvue,218500,132800,3582000,15100000000,1470000000
KDP,Keurig Dr Pepper,496542,294455,13355000,16603000000,2080000000
KEY,KeyCorp,79406,35673,50000,7500000000,1800000000
KEYS,Keysight,193052,93652,834350,5375000000,846000000
KMB,Kimberly-Clark,3660714,3209000,88800000,16447000000,2021000000
KIM,Kimco Realty,185000,75000,1200000,2140116000,554400000
KMI,Kinder Morgan,54000,16800000,1550000,16937000000,3056000000
KLAC,KLA Corporation,251596,88899,357742,13580000000,4830771000
KHC,Kraft Heinz,1220154,25079857,28616000,24942000000,-5848000000
KR,Kroger,6954069,4916373,22106846,147600000000,1000000000
LHX,L3Harris,350000,180000,1500000,21865000000,1606000000
LH,LabCorp,850000,339117,3500000,13951700000,876500000
LRCX,Lam Research,13700,50832,302833,23230000000,7270000000
LW,Lamb Weston,4810000,1110507,2771800,6612300000,290000000
LVS,Las Vegas Sands,851500,396453,8725000,13017000000,1627000000
LDOS,Leidos,140000,136637,550000,17174000000,1462000000
LEN,Lennar,12000,35000,500000,34200000000,2100000000
LNC,Lincoln Financial,29062,7007,15000,17980000000,3275000000
LIN,Linde plc,42500000,30000000,15000000,33986000000,6898000000
LYV,Live Nation Entertainment,120000,75000,450000,25200000000,496000000
LKQ,LKQ Corporation,140000,250000,1200000,13700000000,596000000
LMT,Lockheed Martin,1565447,654334,4971245,75048000000,5017000000
L,Loews Corporation,425,250000,1200000,18500000000,1667000000
LOW,Lowe's,2553665,1168000,9652800,86286000000,6654000000
LYB,LyondellBasell,93100000,18900000,139000000,30153000000,-738000000
MTB,M&T Bank,140175,54281,218416,9690000000,2851000000
MRO,Marathon Oil,1250000,3500000,15000000,6697000000,1554000000
MPC,Marathon Petroleum,17850000,40400000,140181000,135222000000,5878000000
MKTX,MarketAxess,2425,16530,15000,846300000,246900000
MAR,Marriott International,18500000,6637786,144100000,26190000000,2600000000
MMC,Marsh McLennan,159754,77390,200000,26981000000,4160000000
MLM,Martin Marietta Materials,1200000,3400000,4500000,6150000000,990000000
MAS,Masco,487000,128000,940000,7562000000,810000000
MA,Mastercard,118864,512781,170200,32791000000,14968000000
MTCH,Match Group,12000.0,25000.0,15000.0,3493000000.0,613500000.0
MKC,McCormick & Company,432751,133040,2284000,6840300000,717200000
MCD,McDonald's,1500000.0,60457705.0,7332000.0,26885000000.0,8563000000.0
MCK,McKesson,350000,200482,1125000,403430000000,4762000000
MDT,Medtronic,850000,288000,2050000,36364000000,4840000000
MRK,Merck & Co.,1200000,884200,19500000,65011000000,18254000000
META,Meta Platforms,18423634,8200000,3881000,200966000000,60458000000
MET,MetLife,100000,48241,500000,76130000000,3200000000
MTD,Mettler Toledo,120000,25000,350000,4026000000,869200000
MGM,MGM Resorts,1415668,613211,18500000,17537700000,205862000
MCHP,Microchip Technology,350000,180000,3500000,4713000000,118800000
MU,Micron Technology,9791521,6101940,62033000,37378000000,8539000000
MSFT,Microsoft,24500000,20290000,8170000,331840000000,133750000000
MAA,Mid-America Apartment Communities,150000,250000,17645321.72,2210000000,443200000
MRNA,Moderna,139730,30883,250000,1900000000,-2800000000
MHK,Mohawk Industries,12009878,2925940,15850000,10785400000,369900000
MOH,Molina Healthcare,35000,8501,150000,45426000000,472000000
TAP,Molson Coors Beverage Company,1200000,1500000,30000000,11140800000,-2139600000
MDLZ,Mondelez International,5146667,30470000,10376000,38500000000,2450000000
MPWR,Monolithic Power Systems,85497,45291,120000,2790459000,615927000
MNST,Monster Beverage,120000,250000,1500000,8294343000,1905432000
MCO,Moody's Corporation,22567,851,15000,7718000000,2459000000
MS,Morgan Stanley,195000,246410,1150000,70645000000,16861000000
MOS,Mosaic Company (The),3500000,7500000,320384000,12052000000,540700000
MSI,Motorola Solutions,191200,100873,267000,11700000000,2154000000
MSCI,MSCI,15000,7683,25000,3134459000,1202305000
NDAQ,Nasdaq,70775,72188,57407,8218000000,1787000000
NTAP,NetApp,150000,65340,450000,6930000000,1280000000
NFLX,Netflix,258639,1037226,15000,45183036000,10981201000
NWL,Newell Brands,350000,360526,3000000,7178000000,-285000000
NEM,Newmont,3500000,4400000,123231000,22669000000,7085000000
NWSA,News Corp (Class A),186883,935100,15000,9030000000,743000000
NWS,News Corp (Class B),167500,82776,50000,8450000000,648000000
NEE,NextEra Energy,250747000,43434476,114244000,27412000000,6835000000
NKE,Nike,555700,8266474,6900000,51362000000,5700000000
NI,NiSource,7266154,5446186,8890000,6609600000,929500000
NDSN,Nordson Corporation,120000,55000,450000,2791700000,484500000
NSC,Norfolk Southern Railway,367556,4167192,2541524,12180000000,2873000000
NTRS,Northern Trust,72925,30924,50000,8086400000,1737000000
NOC,Northrop Grumman,1450000,650000,11000000,42000000000,4200000000
NCLH,Norwegian Cruise Line Holdings,1200000,3242719,7600000,9800000000,423200000
NRG,NRG Energy,154000000,30000000,120000000,30713000000,864000000
NUE,Nucor,14000000,10500000,63000000,32500000000,1740000000
NVDA,Nvidia,821200,10942270,134000,215900000000,120067000000
NVR,NVR,12000,5000,60000,10323959000,1339816000
NXPI,NXP Semiconductors,831349,206637,11148000,12269000000,2068000000
ORLY,O'Reilly Auto Parts,1200000,493400,1500000,17781992000,2538209000
OXY,Occidental Petroleum,12036810,22730000,50000000,21593000000,2369000000
ODFL,Old Dominion,35000,1183791,500000,5496389000,1023703000
OMC,Omnicom Group,120000,85000,350000,17271900000,-54500000
ON,ON Semiconductor,2149054,1467300,15759000,5995400000,121000000
OKE,ONEOK,2500000,1800000,5000000,33629000000,3462000000
ORCL,Oracle Corporation,5155385,8500000,545500,67360000000,17100000000
OGN,Organon & Co.,120000,55000,1500000,6200000000,187000000
OTIS,Otis Worldwide,165400,211100,170343,14400000000,1384000000
PCAR,Paccar,927460,227176,1500000,28444800000,2375800000
PKG,Packaging Corporation of America,3500000,3050000,268400000,8989000000,774000000
PANW,Palo Alto Networks,35000,983674,120000,11480000000,307000000
PARA,Paramount Global,120000,50000,250000,28900000000,-621000000
PH,Parker Hannifin,1200000,523964,4500000,21500000000,3650000000
PAYX,Paychex,25000,3200,150000,6510000000,1760000000
PAYC,Paycom,50028,752,125000,2050000000,453400000
PYPL,PayPal,230100,478100,165800,33172000000,5233000000
PNR,Pentair,250000.0,120000.0,117347.0,4180000000.0,653800000.0
PEP,PepsiCo,4479167,24000000,35000000,93925000000,8240000000
PFE,Pfizer,4324679,1125698,26600000,62579000000,7771000000
PCG,PG&E Corporation,85000000,3394694,12000000,24939000000,2703000000
PM,Philip Morris International,1022795,322445,3069000,40640000000,11350000000
PSX,Phillips 66,14500000,37300000,180000000,132376000000,4403000000
PNW,Pinnacle West,38377000,10179459,117955892,5340000000,616500000
PXD,Pioneer Natural Resources,1500000,7500000,20000000,19362000000,4894000000
PNC,PNC Financial Services,434198,31286,1128266,23099000000,7000000000
POOL,Pool Corporation,35000,25000,150000,5300000000,406400000
PPG,PPG Industries,2358333,630000,7450000,15875000000,1576000000
PPL,PPL Corporation,58000,29683827,428087000,9042000000,1181000000
PFG,Principal Financial Group,54600.0,25000.0,150000.0,15625500000.0,1255500000.0
PG,Procter & Gamble,16456944,2079000,66733000,87030000000,16000000000
PGR,Progressive Corporation,92010,68267,186000,87671000000,11308000000
PLD,Prologis,120000,50000,1500000,8790000000,3322000000
PRU,Prudential Financial,85233,435711,120000,60774000000,3576000000
PEG,Public Service Enterprise Group,40816000,550000,2500000,12160000000,2111000000
PTC,PTC,12500,5000,20000,2740000000,734000000
PSA,Public Storage,495034,125000,1200000,4824113000,1797032000
PHM,PulteGroup,12500,7520000,1500000,17300000000,2200000000
QRVO,Qorvo,195000,85000,1200000,3678517000,339000000
PWR,Quanta Services,33111,887174,150000,28480000000,1030000000
QCOM,Qualcomm,165000,4664301,1250000,44284000000,5541000000
DGX,Quest Diagnostics,289000,197600,1250000,11035000000,992000000
RL,Ralph Lauren Corporation,237000,1230541,10110000,7079000000,743000000
RJF,Raymond James,85000,35000,300000,14065000000,2130000000
RTX,RTX Corporation,3500000,1409597,12000000,88600000000,6700000000
O,Realty Income,6855757,3500000,50000,5700000000,1000000000
REG,Regency Centers,59142,19271,1250000,1553500000,541000000
REGN,Regeneron,250231,1228000,1660000,14343000000,4505000000
RF,Regions Financial Corporation,150000,57620,500000,7500000000,2156000000
RSG,Republic Services,8265383,13362683,1980000,16591000000,2139000000
RMD,ResMed,46890,27530,399902,5146300000,1400723000
RVTY,Revvity,85000,28600,249729,2856000000,241201000
RHI,Robert Half,18500,7200,120000,5379000000,133000000
ROK,Rockwell Automation,151420,91732,450000,8342000000,869000000
ROL,Rollins,125000,55000,300000,3761050000,526710000
ROP,Roper Technologies,120000,45000,250000,7902500000,1536300000
ROST,Ross Stores,892971,500000,150000,22751000000,2145000000
RCL,Royal Caribbean Group,8200000,5430541,35000000,17935000000,4268000000
SPGI,S&P Global,45360,437348,121496,15336000000,4471000000
CRM,Salesforce,913000,1100000,528500,41530000000,7500000000
SBAC,SBA Communications,12500,5000,20000,2815100000,1054500000
